Added Pin To Net: NetName=+5 Pin=D1-1
Added Pin To Net: NetName=GND Pin=D1-2
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=393.701mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=19.685mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mil New=196.85mil
